"","user","tweet","HCCA_category","true_label","HCCA_label","true_category"
"156","Adm Jobs Los Angeles","Looking for a #Regulatory #Assistant (Office Automation) #jobs http://t.co/CFmvHrYocl http://t.co/JXJBVYzpAM","Advertisement",2,2,"Advertisement"
"157","to deed jobs search","#Stowaway found aboard Emirates flight from China to Dubai #jobs #jobsearch #Dubai: #An airline spokesperson ... https://t.co/Fwx6m7UpyC","Advertisement",4,2,"Other"
"158","Sexy Quotes","RT @sidetocyteq Weird Jobs That Pay Insanely High Salaries. Must see here https://t.co/bQnCB7zexj https://t.co/Q5TF2s0cIM","Other",4,4,"Other"
"159","Atlanta Jobs","Associate Dentist - Fayettville - Pacific Dental Services - Fayetteville, GA… https://t.co/fXWBnopN5R #atlanta #jobs","Advertisement",2,2,"Advertisement"
"160","Jobs Hartford","Jobs available in #Hartford. Apply now and land the job of your dreams http://t.co/bYoUp3dHDr","Advertisement",2,2,"Advertisement"
"161","TMJ-TX Health Jobs","BSA Health System #MedicalDevices #Job: PROJECT TECH (#Amarillo, TX) http://t.co/YZR1NM88xW #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"162","San Antonio Para Job","#Jobs Legal Staff in San Antonio, TX: Signing Agent The candidate will conduct mortgage loan signings at the... https://t.co/vkxeobSaqV","Advertisement",2,2,"Advertisement"
"163","Colton Battin","RT @HandzOn11 might as well join isis. hillary probably givin hella jobs","Junk",3,1,"News/Politics"
"164","TMJ-FL Retail Jobs","Dollar General Corporation: STORE MANAGER CANDIDATE (#LehighAcres, FL) http://t.co/axnxZOeqBO #Retail #Veterans #Job #Jobs #Hiring","Advertisement",2,2,"Advertisement"
"165","CookevilleNews","JOBS: Food Service Specialist - SPARTA, It's said that an army marches on its stomach. If that's the case, you can... http://t.co/VrL3sFpSst","Junk",2,1,"Advertisement"
"166","Advertising Chicago","Apply now to work for American Marketing & Publishing, LLC #jobs http://t.co/SKiTqS6ufF","Advertisement",2,2,"Advertisement"
"167","San Diego Jobs","Remote Senior Contracts Manager In Irvine Jobs in San Diego, CALIFORNIA #SanDiego #CALIFORNIA #jobs #jobsearch https://t.co/SxSdOuoTa2","Advertisement",2,2,"Advertisement"
"168","24 Seven San Fran","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"169","Sacramento jobs","#jobs4u #jobs Director of Homeless Outreach http://t.co/MrjQ1xOn2c #SAC #sacramento #CA","Advertisement",2,2,"Advertisement"
"170","LEAF PILE","[Quietly adds ""color librarian"" to list of dream jobs] A scoop on how #jcrew does color: http://t.co/jL6CfeIepY","Other",5,4,"Personal"
"171","Buffalo Jobs","#BuffaloJobs WAITER/WAITRESS (FULL-TIME)-NOW HIRING-3 OPENINGS: Flik - New York City, NY - We h... https://t.co/XNMLnhKfr2 #Buffalo #Jobs","Advertisement",2,2,"Advertisement"
"172","NewarkIT-Support/Ad.","Want to work in #Newark, NJ? View our latest opening: http://t.co/yyIsedgWRc #IT #Job #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"173","Jobs in Lexington","#Job #Lexington Block Clerk: Lexington Job Summary: Reporting to the General Manager or designated manager, en... http://t.co/8qKjrizyIG","Advertisement",2,2,"Advertisement"
"174","Austin Jobs","Operations Intern Admin Jobs in Austin, TX #Austin #TX #jobs #jobsearch https://t.co/oXiwRb3tGC","Advertisement",2,2,"Advertisement"
"175","","Want to work in #Williams, AZ? View our latest opening: https://t.co/cdWmBwUK2w #Job #Xanterra #hospitality #Jobs #Hiring","Advertisement",2,2,"Advertisement"
"176","Robert S Mozayeni","RT @SuB8u Jobs humans don't want & shouldn't do. And where regulations lag tech development. Good read http://t.co/2HaZSKESgK http://t.co/EJDgJQqzxp","Other",4,4,"Other"
"177","BLACKPEARL","RT @amjustfree ""African Americans Dont Want to Be Entertained,We Want Jobs,School Choice,Not @HillaryClinton"" #Latinos #Women #Ohio https://t.co/201rsBtTfn","News/Politics",3,3,"News/Politics"
"178","Jobs Columbia","Apple is looking for a #At #Home Advisor - AppleCare Chat Team in #Columbia, apply now! #jobs https://t.co/X9Efc4yYKt","Junk",2,1,"Advertisement"
"179","Memphis jobs","#jobs4u #jobs Full Time OTR Driver | Weather Shield | Memphis TN https://t.co/0Xm0YxxeNG #MEM #memphis #TN","Advertisement",2,2,"Advertisement"
"180","Columbus Health Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"181","Neuvoo Buffalo Jobs","Supercuts is hiring! #MasterCuts #Manager in #Buffalo, apply now! #jobs http://t.co/u5PcHkhiMX http://t.co/47tySjuo9T","Advertisement",2,2,"Advertisement"
"182","LautanJobs","Senior Wedding & Event Set Up Assistant Job at https://t.co/fCbLfopgAj / Australia #Australia #Jobs #JobSeekers #Employment #Recruiting #…","Advertisement",2,2,"Advertisement"
"183","NameWithheldByReq","RT @GeneMcVay ★★Burnie is not qualified to be President, he's from the North Pole. Trump will bring real jobs home to America. #MAGA","News/Politics",3,3,"News/Politics"
"184","Education SF","CalOpps is hiring a #Summer #Learning Coordinators, apply now! (#SanFrancisco) #jobs http://t.co/yZCoS1EW5D","Advertisement",2,2,"Advertisement"
"185","Hershey Jobs","#Hershey #Jobs Diesel Truck/Equipment Mechanic: Harrisburg Primary Purpose and Essential Functions: To perform... http://t.co/YamfOxu7dj","Advertisement",2,2,"Advertisement"
"186","RH Legal Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"187","Los Angeles Jobs","Sr Account Director Agency Jobs in Los Angeles, CA #LosAngeles #CA #jobs #jobsearch https://t.co/54WDGFAq2l","Advertisement",2,2,"Advertisement"
"188","TMJ-LAX Cleric. Jobs","#Clerical #Job alert: Department Clerk- Radiology | Northridge Hospital Medical Center | #Northridge, CA https://t.co/TyUsaYCPyt #Jobs","Advertisement",2,2,"Advertisement"
"189","Blackstone Staffing","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"190","ZipRecruiter Jobs","CareLinx Inc is #hiring Caregiver CNA Preferred. ID #14171 in Gilbert, AZ http://t.co/cDC4tIGCuL #jobs #Gilbert #DomesticHelp","Advertisement",2,2,"Advertisement"
"191","ZipRecruiter Jobs","Best Version Media is #hiring Sales Account Executive in Maple Glen, PA https://t.co/rS1wLyZ6pA #jobs #MapleGlen #Sales #BizDev","Advertisement",2,2,"Advertisement"
"192","LeviStraussJobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"193","adsense job jobs ads","#jobs #jobsearch #London #On the move again? Three removal vans pack up the Beckham's £31.5 million London ma... https://t.co/FZPtAeojCe","Advertisement",1,2,"Junk"
"194","Accounting SA","Jobs available in #SanAntonio. Apply now and land the job of your dreams http://t.co/PtN1plLBPF","Other",2,4,"Advertisement"
"195","KG","RT @JayS2629 Bernie Sanders Channels Trump: We Need President Who Will Create Jobs; Move Away From Free Trade Towards Fair Trade https://t.co/DhtpaQvohr","News/Politics",3,3,"News/Politics"
"196","Noble Hospital Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"197","TMJ-SCC Retail Jobs","Want to work in #NorthCharleston, SC? View our latest opening: https://t.co/gPh3g1JLHn #Retail #Job #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"198","Barbie","RT @andscan It's Time America comes First Jobs Infrastructure Healthcare Reform Manufacturers #Wisconsin #WisconsinPrimary https://t.co/BrzDAPPxB5","Other",3,4,"News/Politics"
"199","jen","I don't know why I have 2 jobs for. Twitter basically pays me.","Personal",5,5,"Personal"
"200","Indianapolis Jobs","#Indianapolis #Jobs Assistant Director of Sales & Marketing - Conrad Indianapolis: Indianapolis Assists and ac... http://t.co/lURr6clSy0","Advertisement",2,2,"Advertisement"
"201","White Mountain Jobs","#jobs Junior to Mid-Level Java Developer at iStaff (Alpharetta, GA) http://t.co/da1Ms8ugK1","Advertisement",2,2,"Advertisement"
"202","rick nagasawa","Navy abandons plan to rename jobs with “man” in the title - Hot Air https://t.co/C8xK5H9zof | #tcot #ccot","Other",3,4,"News/Politics"
"203","All Fitness Tech","Once Taunted by Steve Jobs, Companies Are Now Big Customers of Apple https://t.co/0IuBlFigeY #tech https://t.co/q4C0bAX3QD","Junk",1,1,"Junk"
"204","SEIU HCIIMK","RT @SEIU 8 of the 10 fastest-growing jobs pay less than $15/hr. Retweet if you think workers are worth MORE #StrikeFastFood http://t.co/WBHeaTDwux","Other",4,4,"Other"
"205","Pharmacist Jobs","Hiring a Pharmacist at Rx Relief (San Diego, CA) http://t.co/B0CqAQ4Gsx #jobs #shjobs","Junk",2,1,"Advertisement"
"206","Marketing Milwaukee","Looking for a #Director #of Continuous Improvement (RBS) - Marketing #jobs http://t.co/oBd5WUljiS http://t.co/epe1wFSBgf","Advertisement",2,2,"Advertisement"
"207","Adm Jobs, Atlanta","Apply now to work for Colony Square Dental as #Front #desk Administrator in #Atlanta #jobs http://t.co/VPNe46wTBO","Advertisement",2,2,"Advertisement"
"208","Jobs in Indianapolis","#Job #Indianapolis Truck Driver Jobs - https://t.co/Y9D6yEphFT (Greenwood, IN): Seeking Drivers for Solo and T... https://t.co/GSYC6Lp5lU","Advertisement",2,2,"Advertisement"
"209","Logistics New York","Raymour & Flanigan Furniture is hiring! #Customer #Delivery Assistant (non-driver) in #NewYork, apply now! #jobs http://t.co/05SynM4L16","Advertisement",2,2,"Advertisement"
"210","TMJ-BOS Pharm. Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"211","julie villanueva","RT @RickCanton ANOTHER LINE #ROBOTTRUMP REPEATED: He hires illegals because Americans don't want the jobs. #Amnesty #GOPDebate https://t.co/O5VDYf74hl","News/Politics",3,3,"News/Politics"
"212","Minneapolis jobs","#jobs4u #jobs #MN Product Transfer Operator/Sanitizer--starting @ $13 DOQ http://t.co/WeaYVMFvJa #MIN #minneapolis","Advertisement",2,2,"Advertisement"
"213","Marketing jobs","#jobs4u #jobs Marketing Operations Associate, [San Francisco, #CA] http://t.co/quFKAgyb9g #marketing","Advertisement",2,2,"Advertisement"
"214","Houston Jobs","Cdl A Driver 6238007 Jobs in Houston, TX #Houston #TX #jobs #jobsearch https://t.co/5MBz5Jju7U","Advertisement",2,2,"Advertisement"
"215","Chicago Jobs","Mvs Support Specialist With Conversion Migration Exp Co110651 Jobs in Chicago, IL #Chicago #IL #jobs #jobsearch https://t.co/kE2rMUCOMk","Advertisement",2,2,"Advertisement"
"216","Illinois Jobs","New #job opening in #Deerfield, #IL Sr. Software Architect https://t.co/CpDLYIssZF #jobs #hiring","Advertisement",2,2,"Advertisement"
"217","Marketing Jobs","Senior Software Engineer Developer C Marketing Rtb Agorithms Jobs #jobs #jobsearch https://t.co/4SFueifeTt","Advertisement",2,2,"Advertisement"
"218","Romitta","RT @jobsincongress Press Secretary - House Committee on Homeland Security (majority) https://t.co/LWWHBHkiig #jobs","Advertisement",3,2,"News/Politics"
"219","Business jobs","#jobs4u #jobs Credit & Operation Mgr-Small Business Lending, [Wilmington, #DE] http://t.co/zAkJSeRkv8 #business","Advertisement",2,2,"Advertisement"
"220","DC Sales Jobs","Sports Medicine- Sales Representative- Virginia Beach, VA (Glen Allen) - Glen Allen, VA - Stryker #jobs https://t.co/Cws5DacMOU","Advertisement",2,2,"Advertisement"
"221","ZipRecruiter Jobs","Advanced Medical is #hiring Travel Registered Nurse PACU 13 Weeks in Richland, WA https://t.co/wVMXwA8Evt #jobs #Richland #Travel","Advertisement",2,2,"Advertisement"
"222","Julia Erickson","3/4 of people find jobs through being out there, engaged & meeting people.John A. Challenger","Personal",4,5,"Other"
"223","Damiano Fusco","RT @NeuvooITCambri Check out this #job: #Software #Developer (Javascript/HTML/CSS) at Reqiva Ltd in #Cambridge #jobs http://t.co/qk4LhOSCav","Advertisement",2,2,"Advertisement"
"224","Leya Heart","RT @WAStateCommerce New Port of Port Angeles #Composite #Recycling Technology Center to create jobs; divert #waste http://t.co/VDEUAdSw4q http://t.co/LUPnmp3Euz","Other",3,4,"News/Politics"
"225","TMJ-BOS Nursing Jobs","Nursing Assistant 6SE 32hrs Evenings - Lahey Health: (#Burlington, MA) https://t.co/Ng8VEe9IR8 #Nursing #Job #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"226","JavaScript Digest","RT @findmjob Front End Web Developer http://t.co/ufo4BoUqxL #css #php #html #mysql #drupal #facebook #photoshop #javascript #jobs #hiring #careers","Advertisement",2,2,"Advertisement"
"227","Jobs in Georgia","#Job #Georgia Information technology specialist (network services): Information technology specialist (network... http://t.co/yB2xYXNvj0","Advertisement",2,2,"Advertisement"
"228","Raising Cane's Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"229","Jim Yackel","RT @paulregabooks A #CAREER BOOK ALL COLLEGE #GRADS NEED! http://t.co/Yy9CuPSWpR LIFE AFTER #COLLEGE NO MONEY, NO JOBS, NO HOPE! #iartg #PDF1 #ASMSG","Other",4,4,"Other"
"230","Jobs South San Franc","Check out this #job: #Mandarin #Customer Support at Aerotek Professional Services in #SanFrancisco #jobs https://t.co/Cgdm740Ags","Advertisement",2,2,"Advertisement"
"231","Peter Kaufman","RT @chrislhayes .@RepMoBrooks just told me all 500,000 Dreamers under DACA and ""8 Million"" immigrants w/ jobs should be deported. #inners","Personal",3,5,"News/Politics"
"232","Donna","RT @JaredWyand Here's what 2016 comes down to Are we going to choose jobs for illegals or Americans #GOPTownHall #SCPrimary https://t.co/MLbxy4Ku45","News/Politics",3,3,"News/Politics"
"233","Lightskin Diva™","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"234","Jobs in Huntsville","#Job #Huntsville CAS-AL-HU-14:154: Systems Analyst - Huntsville, AL: Huntsville Will provide engineering suppo... http://t.co/vG5SEm7Wjk","Advertisement",2,2,"Advertisement"
"235","TMJ-KAL Health Jobs","Want to work at Lakeland Health? We're #hiring in #Niles, MI! Click for details: https://t.co/oeIVTj22yY #Job #Healthcare #Jobs #CareerArc","Advertisement",2,2,"Advertisement"
"236","Lawrence RE Group","Top 10 cities where workers are seeing higher wages http://t.co/uk17LFWl9g #jobs #realestate #economy http://t.co/rtRIaaiMYJ""","Advertisement",4,2,"Other"
"237","Boss Slice","RT @OurRevolution Keith Ellison is a champion for workers & good jobs. Watch him & Bernie tomorrow @ 8pm ET: https://t.co/zLPcOTI4vN https://t.co/kXfAAZm4iK","Other",3,4,"News/Politics"
"238","Philadelphia Jobs","Deputy Director Technology Jobs in Philadelphia, PA #Philadelphia #PA #jobs #jobsearch https://t.co/uvjhF0WhvA","Advertisement",2,2,"Advertisement"
"239","Irvine Job Roll","#LAX #jobs | Analyst, Vehicle Valuation Job at http://t.co/6SUnp7l3kr (Irvine, CA): Analyst, Vehicle Valuati.. =... http://t.co/u9DzR0buHm","Advertisement",2,2,"Advertisement"
"240","Diane Cominotti","RT @MartyMcPadden: 5 People Who Took A Huge Pay Cut For Their Unique Dream Jobs http://t.co/wIypPdMHFx","Other",4,4,"Other"
"241","TMJ-LAS Jobs","Want to work at Valley Health System? We're #hiring in #LasVegas, NV! Click for details: https://t.co/0o4djKoeEA #Job #VHSCareers #Jobs","Advertisement",2,2,"Advertisement"
"242","Georgia Jobs","#Georgia #Jobs Territory Sales Manager - Any City in Georgia: GA-Macon, Job Description Imagine your next posi... http://t.co/SYt9972wPv","Junk",2,1,"Advertisement"
"243","TMJ-MSP Cleric. Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"244","Libertarian_Latino","@ConservativeGM It's not the gov's duty to protect jobs. You sound like a Communist. You want socialism and cradle to grave welfare.","Personal",3,5,"News/Politics"
"245","Columbus Jobs","Cdl A Lease Purchase Otr Flatbed Driver Jobs in Columbus, OH #Columbus #OH #jobs #jobsearch https://t.co/O6HM3FHi4q","Advertisement",2,2,"Advertisement"
"246","TMJ-MIN Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"247","Centene Jobs","Want to work at Cenpatico National? We're #hiring in #BatonRouge, LA! Click for details: http://t.co/LpZ1Km8ovG #Nursing #Job #Jobs","Advertisement",2,2,"Advertisement"
"248","BizGlobalTeam","#jobs Web Application Developer - Details: Ref ID: 00350-9837495 Classification: Application Development Compen... https://t.co/sMBegOuaWe","Advertisement",2,2,"Advertisement"
"249","Data Entry Jobs","#job #jobs #hiring #jobsearch #career Associate Executive I #Renton #Washington #UnitedStates https://t.co/Y858TLwcT4","Advertisement",2,2,"Advertisement"
"250","Greensboro Jobs","Greensboro Jobs Phlebotomist I Non-Certified - Moses Cone Health System - Greensboro, NC: Accountability - Ta... https://t.co/V8Y7rcax2x","Advertisement",2,2,"Advertisement"
"251","Biola Classifieds","Student Jobs - Custodian http://t.co/i6GpUcuwPZ","Other",2,4,"Advertisement"
"252","TMJ-STL HRTA Jobs","We're #hiring! Click to apply: Night Baker - https://t.co/y3Kn4PwRZk #Job #parttime #Hospitality #StLouis, MO #Veterans #Jobs #CareerArc","Advertisement",2,2,"Advertisement"
"253","TMJ-NHC Health Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"254","Marketing Louisville","#Marketing #Co-op Job needed in #Louisville at GE. Apply now! #jobs http://t.co/EvM3J4YuEF","Advertisement",2,2,"Advertisement"
"255","Madison Jobs","#Madison #Jobs Supply Clerk - Objective - UW Hospitals & Clinics - Madison,… https://t.co/h4uGH0zUZD >> For More Jobs – Please Go2 Our Page!","Advertisement",2,2,"Advertisement"
"256","New York City Jobs","Interpreter Bilingual Spanish Jobs in New York, NY #NewYork #NY #jobs #jobsearch https://t.co/g5prOutfH7","Advertisement",2,2,"Advertisement"
"257","Justin Gibson","RT @ReporterFaith #Ferguson mayor: going to be proactive w/ new recruitment scholarship program so African-American candidates are available when jobs open","Personal",3,5,"News/Politics"
"258","ZipRecruiter Jobs","Best Version Media is #hiring Account Executive and Publisher in Bowie, MD http://t.co/26CknmfWmS #jobs #Bowie #Advertising","Advertisement",2,2,"Advertisement"
"259","Daniel Martinez","RT @SouthParkVid Took Our Jobs!! 😂😂 https://t.co/1DNRDe6Eki","Other",5,4,"Personal"
"260","NH Learning Group","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"261","Joyce Huang","RT @715d1 @Gunmetal_Kitten they're all terrible for the jobs he wants them to do","Personal",5,5,"Personal"
"262","Vitamin Shoppe Jobs","We're #hiring! Click to apply: Health Enthusiast Part-Time - https://t.co/ZEyJrXPICU #Job #HealthWelfare #Ocala, FL #Jobs","Advertisement",2,2,"Advertisement"
"263","Washington Pist","Fact Checkr Has the medical device tax shippd jobs overseas & stuntd innovation? #ElizabethWarren #excisetax #FoxNews #JohnBarrasso #m...","Personal",3,5,"News/Politics"
"264","David Anspaugh","RT @SlackHQ If you're looking for work, new jobs at @Indiegogo, @AngelList, @airware, @marvelapp, @lever and more are up now: http://t.co/fUJD9I9xnx.","Other",2,4,"Advertisement"
"265","TMJ-WAT Retail Jobs","We're #hiring! Click to apply: Assistant Mgr PT-maurices - https://t.co/Qe37IGTyoy #Job #Retail #Olympia, WA #Jobs #CareerArc","Advertisement",2,2,"Advertisement"
"266","Tacoma Jobs","#Job Alert: #Tacoma #Jobs Registered Nurse - RN: Parallon - Tacoma, WA -… https://t.co/NPP4f7mwiJ For More Jobs >>> Please Go2 Our Page!","Advertisement",2,2,"Advertisement"
"267","DataXuCareers","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"268","Froops","RT @realDonaldTrump Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee","News/Politics",3,3,"News/Politics"
"269","Navjot Kaur","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"270","Los Angeles Jobs","Beauty Educator Jobs in Los Angeles, CA #LosAngeles #CA #jobs #jobsearch https://t.co/slKAdsWqZN","Advertisement",2,2,"Advertisement"
"271","Atlanta Jobs","Door Shop Assembler Jobs in Atlanta, GA #Atlanta #GA #jobs #jobsearch https://t.co/YkpdNY1DpO","Advertisement",2,2,"Advertisement"
"272","Montgomery Local","Find this #Job &More Customer Service Reps to Telecommute (Get Customer Service Jobs) https://t.co/yo97Eu6vDr","Other",2,4,"Advertisement"
"273","ClearedJobsNJ","Cleared Jobs NJ | Systems Integration Specialist w/ HR experience and TS/SCI w/ Favorable… https://t.co/GfFqySJhyq #securityclearance #jobs","Advertisement",2,2,"Advertisement"
"274","Indianapolis Jobs","#Indianapolis #Jobs (USA-IN-Indianapolis) Manufacturing Production Foreman: Company Information: Original equi... http://t.co/KLpBa5Urzd","Advertisement",2,2,"Advertisement"
"275","Ultimate Jobs","#jobs #oregon Become a CDL-A Company Truck Driver Associate: Job Description: FAST TRACK TO… https://t.co/GGubTtguZ8 #career #tweetmyjobs","Advertisement",2,2,"Advertisement"
"276","California Jobs","Looking for a job in #Bakersfield, #CA? Biometric (Fingeprinting) Technician https://t.co/hYUtPYaJuP #jobs #hiring","Advertisement",2,2,"Advertisement"
"277","Jobalized.com","Deliver #Driver Local #Lincolnjobs Park, Michigan: DELIVERY #Driver, LOCAL Full time benefit… http://t.co/AeV0nchcB7 #tweetmyjobs #jobs","Advertisement",2,2,"Advertisement"
"278","Security Job Central","Miami - State Security Officer Palm Beach (Palm Beach County) http://t.co/7KzZIUMsEq #Jobs","Advertisement",2,2,"Advertisement"
"279","New York Job","#job opportunity: Engineering Specialist needed in #Rochester, #NY https://t.co/1TRDbO2SDY #jobs #hiring","Advertisement",2,2,"Advertisement"
"280","Chicago Web Jobs","#webmarketing #jobs Membership Specialist: Membership and Marketing. Basic skill with HTML and/or web developm... https://t.co/0UJVrOarJR","Advertisement",2,2,"Advertisement"
"281","Jobely.com","Looking for a #Job in #LA? New #jobs in Los Angeles https://t.co/mJjkUr6V6N #jobely","Advertisement",2,2,"Advertisement"
"282","Jobs in Boston","#Boston #Jobs Concierge - Boston Marriott Peabody (15001VFU): It’s a powerful feeling, to belong. It’s inspiri... https://t.co/edoDkxogh3","Advertisement",2,2,"Advertisement"
"283","princess","RT @katbrooks_ 5 classes 5 days a week, 2 jobs 7 days a week, yeah, see you guys in 2018","Personal",5,5,"Personal"
"284","ZipRecruiter Jobs","Best Version Media is hiring Account Executives and Publishers http://t.co/iSejW993jL #jobs","Advertisement",2,2,"Advertisement"
"285","RH Legal Jobs","We're #hiring! Click to apply: Litigation Paralegal - https://t.co/eILoog3Ize #Job #RHLegalJobs #Legal #Atlanta, GA #Jobs","Advertisement",2,2,"Advertisement"
"286","Chicago Hospitality","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"287","Driving Jobs","★ JOB ★ #hiring #job #Emeryville - Delivery Courier (Emeryville) http://t.co/IfCzmBfkKK ☜see #trucking #jobs","Advertisement",2,2,"Advertisement"
"288","Jobs in Kansas","★ JOB ALERT ★#hiring #job #Topeka - NOW HIRING - Local and Regional CLASS A DRIVERS -… http://t.co/7hfyDYjbMj ☜ view details #jobs","Advertisement",2,2,"Advertisement"
"289","New York City Jobs","Director Of Admissions Enrollment Services Jobs in New City New, YORK #NewCityNew #YORK #jobs #jobsearch https://t.co/FGUikqYoF8","Advertisement",2,2,"Advertisement"
"290","Jobs Virginia Beach","Dominos Pizza is hiring a #Customer #Service Rep(04217) - 212 18th St, apply now! #VirginiaBeach #jobs http://t.co/c1bmFOyLhL","Advertisement",2,2,"Advertisement"
"291","Engineering New York","Apply now to work for OnDeck as #Senior #Software Engineer - Web Team in #NewYork #jobs https://t.co/gjbnzjAtgM","Advertisement",2,2,"Advertisement"
"292","AMC Careers","We're #hiring! Click to apply: Manager, Pricing - https://t.co/PblxZ0xeV8 #Job #Marketing #Leawood, KS #Jobs","Advertisement",2,2,"Advertisement"
"293","RAH Career Site","RT @PresenceJobs #job APPLICATIONS TEAM MEMBER/SYSTEM ADMINISTRATOR - ERP - Presence Health #Chicago #IL http://t.co/NflElj6ikw #jobs","Advertisement",2,2,"Advertisement"
"294","TMJ-HAR HRTA Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"295","Fort Worth Jobs","#FortWorth #Jobs RN: Fort Worth The Radiology RN is responsible and accountable for prescribing, delegating an... http://t.co/GfeAf1Dc6E","Advertisement",2,2,"Advertisement"
"296","Tori","RT @GirlsNoteBook i need one of those kim kardashian jobs where they pay me for living","Personal",5,5,"Personal"
"297","⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"298","J Wolfgang Goerlich","@billford ""Times were good in America. There was plenty of everything: jobs, security, laughs. America was in great shape..."" Even security.","Personal",4,5,"Other"
"299","Bay Area Workplaces","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"300","K__Books","@coffeebooksme yep. I couldn't take more than one of the jobs because they were in different places","Personal",5,5,"Personal"
"301","MsEXQUISITE_","@YES_HesReal 🍆 riding sheesh. They take their jobs too serious , it's just the movies lol","Personal",5,5,"Personal"
"302","awatterson","On way to UofI for recruiting. We offer pizza, beer and jobs.","Personal",2,5,"Advertisement"
"303","kingmimi_","bout to quit my two jobs if i get this new one!!!! 💵😎💵","Personal",5,5,"Personal"
"304","CrystalLeFave","the worst part of 2 jobs is the fact that I'm workin every day of my spring break, except Friday. one day off😔","Personal",5,5,"Personal"
"305","FreelanceJobz4U","#freelance jobs: Software product website - Drupal by Services391: The project is a website for a so... http://t.co/isCnoo9kF2 #projects","Advertisement",2,2,"Advertisement"
"306","JamesKelly31","Work at Home Jobs – Finding a Legitimate Work From Home Job ...: These days making a living, or even a career, fro... http://bit.ly/9MBywY","Other",2,4,"Advertisement"
"307","Partyppl_prblms","RT @MuchBetterThanU: Making out with icecream all night &gt; giving blow jobs #HappyValentinesDay","Junk",1,1,"Junk"
"308","GaltsGirl","@MushKat LOL! I share that addiction, along with the ones to politics and music. Which explains the multiple jobs! It's a living ;)","Personal",5,5,"Personal"
"309","anjelica","the rutgers alumni career network thing is cool. i think i'm just going to start e-stalking people that have interesting jobs.","Personal",5,5,"Personal"
